Empire,MaximumlandareaKM,MaximumlandareaKKM,MaximumlandareaPerc,MaximumlandareaY
British Empire,35.5[11],13.71,26.35,1920[11]
Mongol Empire,24.0[11][12],9.27,17.81,1270[12] or 1309[11]
Russian Empire,22.8[11][12],8.80,16.92,1895[11][12]
Second French colonial empire,11.5[11],4.44,8.53,1920[11]
Umayyad Caliphate,11.1[11],4.29,8.24,720[11]
Empire of Japan,7.4[15]–8.51,2.86–3.285[16],6.32,1942[15][16]
Eastern Han dynasty,6.5[13],2.51,4.82,100[13]
Achaemenid Empire,5.5[12][13],2.12,4.08,500 BC[12][13]
Macedonian Empire,5.2[12][13],2.01,3.86,323 BC[12][13]
Ottoman Empire,5.2[11][12],2.01,3.86,1683[11][12]
Roman Empire,5.0[12][13],1.93,3.71,117[12][13]
Timurid Empire,4.4[11][12],1.70,3.27,1405[11][12]
Hunnic Empire,4.0[12][13],1.54,2.97,441[12][13]
Seleucid Empire,3.9[12][13],1.51,2.89,301 BC[12][13]
Sasanian Empire,3.5[12][13],1.35,2.60,550[12][13]
Maurya Empire,3.4[13]–5.0[12],1.31–1.93,3.71,261 BC[13] or 250 BC[12]
Parthian Empire,2.8[12][13],1.08,2.08,0[12][13]
Mali Empire,1.1[11][12],0.42,0.82,1380[11][12]
Holy Roman Empire,1.0[11],0.39,0.74,1050[11]
Nazi Germany,0.824[23],0.32,0.61,1940[23]
Aztec Empire,0.22[11],0.08,0.16,1520[11]
Zulu Empire,0.21,0.08[30],0.16,1822[30]

